topicname,totalQuestions,unansweredQuestions
AIDS,8,0
ANA Test,1,0
Abdominal Obesity,7,1
Abdominal Pain,2,0
Ablation,2,0
Acetaminophen,37,0
Acne,26,1
Actinic Keratosis,2,1
Acupuncture,2,0
Addiction,1,0
Adrenal Gland,3,0
Adult Acne,2,0
Affordable Care Act,1,0
Aging,13,0
Alcohol Abuse,2,0
Alcoholic Beverage,1,0
Alcoholism,20,0
Allergic Conjunctivitis,1,0
Allergic Reaction,7,0
Allergy,35,0
Almond,1,0
Aloe,3,0
Alopecia,1,0
Alzheimer's Disease,7,0
Amino Acids,2,0
Ammonia,1,0
Amoxicillin,13,0
Amyotrophic Lateral Sclerosis,2,0
Anaphylaxis,5,0
Anemia,1,0
Anesthesia,1,0
Anger,1,0
Angina,4,0
Ankle,12,0
Anterior Cruciate Ligament Injury,1,0
Anti-Aging,4,0
Antibiotic,33,2
Antidepressant,13,0
Anus,4,0
Anxiety,22,0
Apnea,1,0
Arm,12,0
Arrhythmia,10,0
Arthritis,8,0
Aspirin,12,0
Asthma,18,1
Asthma Attack,2,0
Atherosclerosis,2,0
Athlete's Foot,2,0
Atopic Dermatitis,4,0
Attention Deficit Hyperactivity Disorder,20,0
Autism,4,0
Autoimmune Hepatitis,2,0
B Complex Vitamins,7,0
B12,3,0
Baby,83,0
Baby Bottle Tooth Decay,1,0
Back Pain,11,0
Bacterial Vaginosis,8,0
Bacterium,6,0
Bad Breath,4,0
Balanitis,3,0
Bedbug,9,0
Bee Sting,1,0
Belch,2,0
Belly Button,2,0
Benign Prostatic Hyperplasia,1,0
Benzoyl Peroxide,3,0
Beta Blocker,2,0
Big Toe,1,0
Bioidentical Hormone,3,0
Biopsy,2,0
Bipolar Disorder,17,0
Birth,2,0
Birth Control,10,0
Birth Control Pill,13,0
Birth Defect,1,0
Birthmark,1,0
Bladder,5,0
Blister,9,0
Bloating,4,0
Blood Clot,5,0
Blood Pressure,7,0
Blood Sugar,16,2
Blood Test,1,0
Body Mass Index,2,0
Boil,3,0
Bone Spurs,10,0
Borderline Personality Disorder,3,2
Bowel Movement,6,0
Brain,9,0
Brain Tumor,2,0
Breast,13,0
Breast Cancer,14,0
Breast Self Exam,1,0
Breastfeed,16,0
Broken Toe,2,0
Bronchitis,9,0
Bruise,2,0
Burn,12,0
Bursitis,3,0
Buttocks,6,0
Caffeine,11,0
Calcium,9,0
Calf,3,0
Callus,1,0
Calorie,2,0
Cancer,19,0
Canker Sore,5,0
Carbohydrate,5,0
Carbon Dioxide,1,0
Cardiovascular Disease,1,0
Cardioversion,1,0
Carotid Artery,2,1
Carpal Tunnel Syndrome,2,0
Castor Oil,1,0
Cat Scratch Disease,2,0
Catheter,2,0
Cats,5,0
Cavity,4,0
Celiac Disease,4,0
Cellulite,6,0
Cephalexin,4,0
Cereal,3,0
Cervical Conization,2,0
Cervix,2,0
Cesarean Section,2,0
Charcot-Marie-Tooth Disease,2,0
Chemotherapy,5,0
Cherry Angioma,1,0
Chest,15,0
Chiari Malformation,1,0
Chickenpox,1,0
Chigger,4,0
Childhood Obesity,1,0
Chlamydia,6,0
Choking,2,0
Cholesterol,24,2
Chondromalacia Patella,2,0
Chronic Obstructive Pulmonary Disease,6,0
Circumcision,5,0
Cirrhosis,4,0
Cocaine,4,0
Cocoa,1,0
Coconut Oil,2,0
Coffee,7,0
Cold,26,0
Cold Sore,6,0
Coldness,59,0
Colic,3,0
Colitis,2,0
Collagen,2,0
Colon,1,0
Colon Cancer,12,0
Colonoscopy,3,0
Complex Regional Pain Syndrome,4,0
Concussion,1,0
Condom,2,0
Congestive Heart Failure,6,0
Constipation,5,0
Contact Dermatitis,1,0
Cooking,8,0
Cortisone,1,0
Cosmetic Procedures,3,0
Cosmetic Surgery,8,0
Cough,14,0
Cramps,14,0
Cranberry,1,0
Craving,1,0
Creatinine,2,0
Crohn's Disease,5,0
Croup,2,0
Crying,5,0
Cuts,11,0
Cyst,8,0
Cystic Acne,1,0
Dairy,2,0
Dark Chocolate,1,0
Deep Vein Thrombosis,2,0
Dehydration,2,0
Dementia,12,0
Dental,43,0
Dental Injury,1,0
Depression,33,0
Dessert,1,0
Detached Retina,3,0
Diabetes,48,0
Diabetic Neuropathy,1,0
Diaper Rash,2,0
Diarrhea,23,0
Diet,50,1
Diet Pills,6,0
Digestive System,1,0
Dislocation,2,0
Diverticulitis,9,0
Dizziness,7,0
Dog,6,0
Domestic Violence,2,0
Dopamine,1,0
Drainage,6,0
Drinking,26,0
Drowsiness,4,0
Drug,266,3
Drug Abuse,12,0
Drug Overdose,2,0
Drug Test,3,0
Dry Mouth,4,0
Dry Skin,4,0
Dry Socket,3,0
Ear Drum,1,0
Ear Infection,9,0
Ears,15,0
Echocardiogram,5,0
Ectopic Pregnancy,1,0
Edema,5,0
Ehlers-Danlos Syndrome,1,0
Ejaculation,5,0
Elbow,1,0
Electrocardiogram,1,0
Electrogastrogram,4,0
Emergency Room,5,0
Endometrial Cancer,2,0
Endometriosis,1,0
Epilepsy,5,0
Epinephrine,1,0
Epistaxis,2,0
Erectile Dysfunction,14,0
Erection,22,0
Esophagus,3,0
Estrogen,4,0
Eustachian Tube Dysfunction,2,0
Exercise,48,0
Exercise Stress Test,1,0
Exposure,1,0
Eyebrow,1,0
Eyelid,3,0
Eyes,23,0
Facial Nerve,2,0
Family,15,1
Fast Food,2,0
Fatigue,6,0
Fatty Liver Disease,7,0
Fear,5,0
Feeding,11,0
Femur,1,0
Fertility,7,0
Fetal Alcohol Syndrome,2,0
Fetus,1,0
Fever,16,0
Fiber,3,0
Fibromyalgia,35,0
Finger,3,0
First Aid,4,0
First Trimester,6,0
Fish,6,0
Fitness,1,0
Flatulence,8,0
Flu,41,0
Fluoride,2,0
Food,48,0
Food Allergy,6,0
Food Poisoning,5,0
Foot,16,0
Forearm,4,0
Forehead,1,0
Foreskin,1,0
Fracture,9,0
Freckle,1,0
Fruit,5,0
Fuzziness,1,0
Gallbladder,3,0
Gallstone,4,0
Ganglion Cyst,1,0
Gastric Bypass Surgery,1,0
Gastroenteritis,4,0
General Anesthesia,1,0
Genetic Disorder,1,0
Genetic Testing,1,0
Genital Herpes,27,0
Ginger,2,0
Gingivitis,2,0
Ginkgo Biloba,1,0
Ginseng,1,0
Glaucoma,4,0
Gonorrhea,2,1
Gout,3,0
Grapefruit,1,0
Grayness,2,0
Gum Disease,1,0
H. Pylori,2,0
HIV,13,1
HIV Test,1,0
Hair,21,0
Hair Loss,19,2
Hallucination,2,0
Hamburger,2,0
Hand,16,0
Head,9,0
Head Lice,4,0
Headache,29,0
Healing,5,0
Health insurance,1,0
Healthy Eating,2,0
Heart,15,0
Heart Attack,7,0
Heart Disease,7,0
Heart Murmur,2,0
Heart Surgery,3,0
Heartburn,27,1
Heel,3,0
Height,1,0
Hemorrhoid,11,2
Hepatitis,4,0
Hepatitis A,1,0
Hepatitis B,5,0
Hepatitis C,8,1
Herb,6,1
Hernia,8,0
Herniated Disc,2,0
Herniated Disk,2,0
Herpes,3,0
Herpes Simplex,4,0
Hiatal Hernia,2,0
High Blood Pressure,17,0
High Cholesterol,3,0
High Fructose Corn Syrup,1,0
High-Risk Pregnancy,1,0
Hip Pain,2,0
Hives,7,1
Hoarseness,1,0
Honey,2,0
Hormone,3,0
Hormone Replacement Therapy,5,0
Hot Flash,5,0
Human Papillomavirus,4,0
Hunger,1,0
Hydrocodone,6,0
Hydrocortisone,2,0
Hydrogen Peroxide,2,0
Hyperglycemia,2,0
Hyperhidrosis,2,0
Hyperkalemia,2,0
Hyperpigmentation,2,0
Hyperthyroidism,2,0
Hypertrophic Cardiomyopathy,1,0
Hypothermia,1,0
Hypothyroidism,4,0
Hysterectomy,7,0
Ibuprofen,39,1
Ice Cream,1,0
Ichthyosis,1,0
Immune System,1,0
Immunotherapy,1,0
Impetigo,3,0
Implant Radiation,1,0
Impotence,2,0
Incontinence,5,1
Indigestion,1,0
Infant,7,0
Infection,23,0
Infertility,7,0
Inhaler,3,0
Injection,44,0
Injury,27,0
Insect Bite,2,0
Insect Sting,1,0
Insomnia,9,0
Insulin,1,0
Insurance,25,0
Intestine,1,0
Intrauterine Device,2,0
Intrauterine Insemination,1,0
Iodine,1,0
Iron,5,1
Irregularity,1,0
Irritability,1,0
Irritable Bowel Syndrome,7,0
Itch,29,0
Jaw,2,0
Jelly,1,0
Jet Lag,1,0
Juice,1,0
Kale,1,0
Keloid,2,0
Keratosis Pilaris,2,0
Kidney,8,0
Kidney Cancer,8,0
Kidney Disease,4,0
Kidney Failure,2,0
Kidney Stone,11,0
Knee,11,0
Knee Pain,1,0
Lactase,1,0
Lactose,1,0
Leg,21,0
Legg-Calve-Perthes Disease,1,0
Libido,1,0
Lice,3,0
Lice Infestation,2,0
Ligament,1,0
Lightheadedness,1,0
Lip,7,0
Liposuction,4,0
Lithium,3,0
Little Finger,1,0
Liver,21,0
Long-Term Effect,1,0
Lotion,3,0
Low Blood Pressure,4,0
Low Carb Diet,2,0
Low Self-Esteem,1,0
Lubricants,1,0
Lump,6,0
Lung,2,0
Lupus,11,0
Lyme Disease,2,0
Lymph Node,9,0
Lymphedema,8,0
Macadamia,1,0
Magnesium,2,0
Magnetic Resonance Imaging,4,0
Makeup,7,0
Mammogram,6,0
Manic Depressive,1,0
Marijuana,10,0
Masturbation,2,0
Mayonnaise,1,0
Meal,4,0
Measles,2,0
Meat,3,0
Medicaid,1,0
Medicare,5,0
Melanoma,1,0
Melasma,1,0
Melatonin,3,0
Memory Loss,2,0
Meningitis,4,0
Menopause,15,1
Menstrual,3,0
Menstrual Cramp,2,0
Mental Health,1,0
Metabolism,1,0
Methadone,14,0
Middle Ear,1,0
Migraine,15,0
Milk,5,0
Mite,1,0
Mitochondrial Myopathy,2,0
