Source,Target,Weight
Feeding,Stuffy Nose,6
Feeding,Yogurt,6
Feeding,Burn,6
Feeding,Lotion,3
Feeding,Baby Bottle Tooth Decay,7
Feeding,Elbow,1
Feeding,Poisoning,1
Feeding,Salt,1
Feeding,SIDS,6
Feeding,Rice,1
Feeding,Sodium,1
Feeding,Headache,1
Feeding,Cellulite,5
Feeding,Hypothermia,2
Feeding,Epinephrine,1
Feeding,Ear Drum,1
Feeding,Teething,6
Feeding,Sweet Potato,1
Feeding,Calorie,1
Feeding,Melanoma,1
Feeding,Breastfeed,7
Feeding,Diet,6
Feeding,Rosacea,1
Feeding,Piercing,1
Feeding,Family,2
Feeding,Tofu,3
Feeding,Lip,1
Feeding,Fruit,2
Feeding,Vinegar,2
Feeding,Abdominal Obesity,5
Feeding,Pleurisy,1
Feeding,Attention Deficit Hyperactivity Disorder,1
Feeding,Birth,1
Feeding,Stomachache,1
Feeding,Infant,1
Feeding,Wrinkle,1
Feeding,Skin,1
Feeding,Crying,6
Feeding,Retina,2
Feeding,Cereal,1
Feeding,Baby,6
Feeding,Anti-Aging,5
Feeding,Nutrition,7
Feeding,Torticollis,6
Feeding,Cocoa,1
Feeding,Childhood Obesity,1
Feeding,NASH,1
Feeding,Ear Infection,1
Feeding,Cavity,2
Feeding,Hoarseness,3
Feeding,Diaper Rash,6
Feeding,Zinc Oxide,1
Feeding,Wart,1
Feeding,Calcium,1
Feeding,Hunger,6
Feeding,Ultrasound,1
Feeding,Skin Cancer,1
Feeding,Colic,6
Feeding,Aging,2
Feeding,Vegetable,3
Feeding,Food,6
Feeding,Healing,1
Feeding,Meat,2
Feeding,Oatmeal,3
Feeding,Soy,6
Feeding,Fitness,1
Feeding,Fertility,1
Feeding,Protein,6
Feeding,Fatty Liver Disease,1
Feeding,Sunscreen,2
Feeding,Spina Bifida,1
Feeding,Vitamin D,1
Feeding,Runny Nose,1
Feeding,Herb,2
Feeding,Autism,1
Feeding,Temperature,1
Feeding,Salmon,2
Feeding,NAFLD,1
Feeding,Coldness,1
Feeding,Multivitamin,1
Feeding,Cuts,3
Feeding,Cold,1
Feeding,Weight Gain,1
Feeding,Fever,1
Feeding,Waist,5
Feeding,Pork,2
Feeding,Obesity,2
Feeding,Parenting,1
Feeding,Exposure,1
Feeding,Middle Ear,1
Feeding,Salad,2
Feeding,Honey,1
Feeding,Fiber,3
Feeding,Body Mass Index,5
Feeding,Ears,1
Feeding,Weight,1
Feeding,Uric Acid,1
Feeding,Carbohydrate,5
Feeding,Belch,6
Feeding,Pregnancy,6
Feeding,Nasal Spray,1
Feeding,Dairy,1
Feeding,Cortisone,1
Feeding,Amino Acids,12
Feeding,Prenatal Vitamin,1
Feeding,Protein S Deficiency,12
Feeding,Plant,1
Feeding,Poison Ivy,1
Feeding,Toddler,1
Feeding,Tick,2
Feeding,Gout,1
Drug Test,Craving,1
Drug Test,Prostate-Specific Antigen Test,6
Drug Test,Nicotine,2
Drug Test,Magnetic Resonance Imaging,2
Drug Test,HIV,6
Drug Test,Alcoholic Beverage,4
Drug Test,Scrotum,1
Drug Test,Screening,2
